"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          85,      -6.521932687,      -4.140770075,      -5.437885422,      -2.067481909,      -4.394073492,       2.042367946
          0,           0,          86,       -6.52230371,      -4.141316496,      -5.438112791,      -2.068321758,      -4.394264133,       2.041484309
          0,           0,          87,      -6.522676798,      -4.141862252,      -5.438320956,      -2.069105813,      -4.394454861,       2.040634889
          0,           0,          88,      -6.523051423,      -4.142407297,      -5.438458886,      -2.069881467,      -4.394645716,       2.039813325
          0,           0,          89,      -6.523425724,      -4.142951534,      -5.438556895,       -2.07065809,      -4.394836731,       2.039010166
          0,           0,          90,      -6.523798529,       -4.14349491,      -5.438641476,       -2.07143807,      -4.395027962,       2.038218858
          0,           0,          91,      -6.524169621,      -4.144037423,      -5.438715566,      -2.072223753,      -4.395219447,       2.037437545
          0,           0,          92,      -6.524539612,      -4.144578588,      -5.438776752,      -2.073012395,      -4.395411231,       2.036657835
          0,           0,          93,      -6.524908634,      -4.145118744,      -5.438830095,      -2.073756839,       -4.39560333,       2.035879327
          0,           0,          94,      -6.525276831,      -4.145658155,      -5.438839818,       -2.07453093,      -4.395795705,       2.035116485
          0,           0,          95,      -6.525644574,      -4.146196785,      -5.438874318,       -2.07531596,        -4.3959884,       2.034365799
          0,           0,          96,      -6.526012167,       -4.14673471,      -5.438948847,      -2.076103091,      -4.396181399,       2.033618738
          0,           0,          97,      -6.526379951,      -4.147271856,       -5.43904996,      -2.076884132,      -4.396374768,       2.032871343
          0,           0,          98,      -6.526748016,      -4.147808281,      -5.439168844,      -2.077661949,      -4.396568497,       2.032122183
          0,           0,          99,      -6.527116373,      -4.148344049,       -5.43930453,       -2.07847044,      -4.396762634,       2.031369742
          0,           0,         100,      -6.527485802,      -4.148879409,       -5.43947116,      -2.079311364,      -4.396957209,       2.030610317
          0,           0,         101,      -6.527858215,      -4.149414951,       -5.43965232,      -2.080078215,      -4.397170923,       2.029843345
          0,           0,         102,      -6.528231382,      -4.149950827,      -5.439825652,      -2.080836646,      -4.397407194,         2.0290742
          0,           0,         103,      -6.528603435,      -4.150485687,      -5.440029528,      -2.081594363,      -4.397643466,       2.028305701
          0,           0,         104,      -6.528974062,      -4.151019619,      -5.440262979,      -2.082352201,      -4.397879867,       2.027540443
          0,           0,         105,      -6.529343705,      -4.151552677,      -5.440513919,      -2.083109673,      -4.398116428,       2.026779393
          0,           0,         106,      -6.529713037,      -4.152084895,      -5.440774096,      -2.083862562,      -4.398353166,       2.026023004
          0,           0,         107,      -6.530082392,      -4.152616325,      -5.441036482,      -2.084609594,      -4.398590155,       2.025272333
          0,           0,         108,      -6.530451727,      -4.153147057,      -5.441296429,      -2.085355633,      -4.398827447,       2.024528283
          0,           0,         109,      -6.530821208,      -4.153676852,      -5.441548651,      -2.086100486,      -4.399065075,        2.02377846
          0,           0,         110,      -6.531190234,      -4.154205729,       -5.44178188,      -2.086805502,      -4.399303082,       2.023033346
          0,           0,         111,      -6.531558499,       -4.15473379,      -5.441980421,      -2.087530595,      -4.399541505,       2.022327403
          0,           0,         112,      -6.531925759,      -4.155260872,      -5.442198231,       -2.08828051,      -4.399780359,       2.021626519
